URL,Performance Desktop,Performance Mobile,Acciones sugeridas
https://publish-p110903-e1421633.adobeaemcloud.com/integridad,66,55,Time to Interactive | Largest Contentful Paint | Speed Index | First Contentful Paint | Network dependency tree | LCP request discovery | Total Blocking Time | Max Potential First Input Delay
https://publish-p110903-e1421633.adobeaemcloud.com/error-404,68,43,Speed Index | Max Potential First Input Delay | Network dependency tree | First Contentful Paint | Optimize DOM size | Total Blocking Time | Time to Interactive | Largest Contentful Paint | Forced reflow
https://publish-p110903-e1421633.adobeaemcloud.com/responsabilidad-social,73,60,Largest Contentful Paint | Time to Interactive | Max Potential First Input Delay | First Contentful Paint | Forced reflow | LCP request discovery | Network dependency tree | Speed Index
https://publish-p110903-e1421633.adobeaemcloud.com/grupo-bal,84,60,Largest Contentful Paint | Time to Interactive | LCP request discovery | Speed Index | Network dependency tree | First Contentful Paint | Max Potential First Input Delay
https://publish-p110903-e1421633.adobeaemcloud.com/grupo-profuturo,84,60,Largest Contentful Paint | Speed Index | LCP request discovery | First Contentful Paint | Network dependency tree | Forced reflow | Optimize DOM size | Time to Interactive
https://publish-p110903-e1421633.adobeaemcloud.com/sostenibilidad,78,60,Largest Contentful Paint | Network dependency tree | Optimize DOM size | Time to Interactive | First Contentful Paint | LCP request discovery | Speed Index | Max Potential First Input Delay | Forced reflow
https://publish-p110903-e1421633.adobeaemcloud.com/content/wps/portal/Ayuda,66,40,Speed Index | Largest Contentful Paint | Render blocking requests | Use efficient cache lifetimes | Time to Interactive | First Contentful Paint | Total Blocking Time | Improve image delivery | Max Potential First Input Delay
https://publish-p110903-e1421633.adobeaemcloud.com/responsables-de-servicio-al-cliente,63,52,Max Potential First Input Delay | Network dependency tree | Optimize DOM size | Total Blocking Time | Time to Interactive | Largest Contentful Paint | Speed Index | First Contentful Paint | Forced reflow
https://publish-p110903-e1421633.adobeaemcloud.com/preguntas-frecuentes,64,50,Speed Index | Max Potential First Input Delay | Optimize DOM size | Network dependency tree | First Contentful Paint | Total Blocking Time | Time to Interactive | Largest Contentful Paint | Forced reflow
https://publish-p110903-e1421633.adobeaemcloud.com/contacto,60,47,Network dependency tree | First Contentful Paint | Optimize DOM size | Max Potential First Input Delay | Time to Interactive | Speed Index | Largest Contentful Paint | Total Blocking Time | Forced reflow
